"/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=1) Y"
0.36,1.790562432,0.36,1.794036227,0.36,1.787538039,0.36,1.790800036,0.36,1.789756305,0.36,1.792395713,0.36,1.789184149,0.36,1.792149688,0.36,1.786071855,0.36,1.793877528,0.36,1.794940357,0.36,1.796999592,0.36,1.793033063,0.36,1.795085613,0.36,1.79444213,0.36,1.796045881,0.36,1.794084247,0.36,1.795900506,0.36,1.79207427,0.36,1.799457644,0.36,1.799568284,0.36,1.799775132,0.36,1.799364994,0.36,1.799590608,0.36,1.799517564,0.36,1.799685138,0.36,1.799482436,0.36,1.799667848,0.36,1.799260383,0.36,1.799722824,0.36,1.799783698,0.36,1.799891834,0.36,1.799671082,0.36,1.799794599,0.36,1.799755884,0.36,1.799845183,0.36,1.799736134,0.36,1.799836571,0.36,1.799611149,0.36,1.788857213
0.396,1.78137926,0.396,1.787586557,0.396,1.776147094,0.396,1.781679269,0.396,1.779947786,0.396,1.784559592,0.396,1.778912011,0.396,1.784165905,0.396,1.773645,0.396,1.786755263,0.396,1.788894495,0.396,1.793087755,0.396,1.785096704,0.396,1.78911842,0.396,1.787881503,0.396,1.791095017,0.396,1.787141644,0.396,1.790825618,0.396,1.783207267,0.396,1.798626713,0.396,1.79888854,0.396,1.799389366,0.396,1.798411961,0.396,1.798936665,0.396,1.798767503,0.396,1.799166159,0.396,1.798682937,0.396,1.799126124,0.396,1.798170063,0.396,1.799237238,0.396,1.799395884,0.396,1.799683933,0.396,1.799105308,0.396,1.799421316,0.396,1.799322763,0.396,1.799556649,0.396,1.799270353,0.396,1.799534793,0.396,1.798952858,0.396,1.778389334
0.432,1.766020525,0.432,1.77600497,0.432,1.757787095,0.432,1.766227028,0.432,1.763701625,0.432,1.770946115,0.432,1.761974808,0.432,1.770423582,0.432,1.75387335,0.432,1.773226933,0.432,1.7772011,0.432,1.785070149,0.432,1.770237958,0.432,1.777437103,0.432,1.775295118,0.432,1.781205689,0.432,1.773869815,0.432,1.780770049,0.432,1.766802498,0.432,1.796757058,0.432,1.797334554,0.432,1.79845677,0.432,1.796292593,0.432,1.797427953,0.432,1.797065394,0.432,1.79794504,0.432,1.79687518,0.432,1.797860349,0.432,1.795769277,0.432,1.798039658,0.432,1.79842273,0.432,1.799130522,0.432,1.797728055,0.432,1.79847441,0.432,1.798244529,0.432,1.798809382,0.432,1.798115086,0.432,1.798759325,0.432,1.797367487,0.432,1.761247411
0.468,1.742558038,0.468,1.757091394,0.468,1.730565596,0.468,1.742309618,0.468,1.739076842,0.468,1.749402801,0.468,1.736380242,0.468,1.748878818,0.468,1.724831003,0.468,1.749638279,0.468,1.756435752,0.468,1.769856516,0.468,1.744699319,0.468,1.756381476,0.468,1.75312548,0.468,1.762985145,0.468,1.750560792,0.468,1.762425382,0.468,1.738901589,0.468,1.792823713,0.468,1.794015914,0.468,1.796362593,0.468,1.791885519,0.468,1.794177187,0.468,1.793455248,0.468,1.795267354,0.468,1.79305354,0.468,1.795102637,0.468,1.790827017,0.468,1.795288867,0.468,1.796153761,0.468,1.797766291,0.468,1.794600094,0.468,1.79624326,0.468,1.795747679,0.468,1.797015177,0.468,1.795447641,0.468,1.796911621,0.468,1.793798963,0.468,1.735505597
0.504,1.709150313,0.504,1.728687309,0.504,1.692527368,0.504,1.707800531,0.504,1.704174827,0.504,1.717833951,0.504,1.700124398,0.504,1.717586072,0.504,1.684419072,0.504,1.71150572,0.504,1.722421301,0.504,1.743280359,0.504,1.703852949,0.504,1.721270654,0.504,1.717013342,0.504,1.732039243,0.504,1.712602233,0.504,1.731618453,0.504,1.694497361,0.504,1.78513137,0.504,1.787412963,0.504,1.791966214,0.504,1.783384175,0.504,1.787641339,0.504,1.786327947,0.504,1.789780426,0.504,1.785536345,0.504,1.789492018,0.504,1.781405361,0.504,1.789356165,0.504,1.791194392,0.504,1.794632381,0.504,1.787925771,0.504,1.79131423,0.504,1.790322567,0.504,1.792986623,0.504,1.789664857,0.504,1.792793258,0.504,1.78624831,0.504,1.699238068
0.54,1.663570787,0.54,1.688478577,0.54,1.64093754,0.54,1.660010706,0.54,1.65658466,0.54,1.673810806,0.54,1.650548035,0.54,1.674331616,0.54,1.629494818,0.54,1.652440548,0.54,1.669644738,0.54,1.699936702,0.54,1.64077591,0.54,1.665503368,0.54,1.660965485,0.54,1.682515009,0.54,1.65335489,0.54,1.682958275,0.54,1.625472171,0.54,1.771320228,0.54,1.775323966,0.54,1.783387783,0.54,1.768352535,0.54,1.775519274,0.54,1.77339351,0.54,1.779375023,0.54,1.771947298,0.54,1.778945169,0.54,1.764953473,0.54,1.777363557,0.54,1.781025318,0.54,1.787867731,0.54,1.774594202,0.54,1.7810765,0.54,1.779267014,0.54,1.784481113,0.54,1.777903345,0.54,1.784169346,0.54,1.771300312,0.54,1.649891989
0.576,1.602106671,0.576,1.633080929,0.576,1.570661169,0.576,1.594203698,0.576,1.59210652,0.576,1.613410682,0.576,1.582819626,0.576,1.615616623,0.576,1.553796254,0.576,1.558829999,0.576,1.587870535,0.576,1.63110185,0.576,1.538706532,0.576,1.57485958,0.576,1.57299241,0.576,1.603821114,0.576,1.557790774,0.576,1.607100637,0.576,1.509050104,0.576,1.748616522,0.576,1.755086465,0.576,1.768007922,0.576,1.74398813,0.576,1.754918695,0.576,1.751916503,0.576,1.761289076,0.576,1.749448251,0.576,1.76079877,0.576,1.738556168,0.576,1.754783786,0.576,1.761601333,0.576,1.774161151,0.576,1.749798959,0.576,1.761183969,0.576,1.758277173,0.576,1.767663759,0.576,1.755592067,0.576,1.767295702,0.576,1.743700909,0.576,1.58286309
0.612,1.516771237,0.612,1.55568939,0.612,1.469100798,0.612,1.499167538,0.612,1.501260993,0.612,1.528106137,0.612,1.485382872,0.612,1.534135609,0.612,1.440473822,0.612,1.360271879,0.612,1.44053372,0.612,1.511815396,0.612,1.289091012,0.612,1.380546059,0.612,1.401435294,0.612,1.457644301,0.612,1.346318419,0.612,1.474175356,0.612,1.105818398,0.612,1.713912702,0.612,1.723771232,0.612,1.74268793,0.612,1.707111862,0.612,1.722494781,0.612,1.718855149,0.612,1.732319975,0.612,1.714819212,0.612,1.732048079,0.612,1.698783345,0.612,1.714834055,0.612,1.726946173,0.612,1.748176103,0.612,1.706285131,0.612,1.724837906,0.612,1.720935365,0.612,1.736523903,0.612,1.715769139,0.612,1.736474754,0.612,1.695228424,0.612,1.487361842
0.648,1.381794085,0.648,1.437130393,0.648,1.27626241,0.648,1.326167836,0.648,1.349291456,0.648,1.388570424,0.648,1.307292077,0.648,1.407462074,0.648,1.178171693,0.648,0.523347184,0.648,0.803412553,0.648,1.050170076,0.648,0.413538621,0.648,0.516298521,0.648,0.635265195,0.648,0.776874468,0.648,0.478866112,0.648,0.924896847,0.648,0.280412874,0.648,1.662984675,0.648,1.677721293,0.648,1.70368605,0.648,1.653172327,0.648,1.673791247,0.648,1.670234975,0.648,1.688484325,0.648,1.663646425,0.648,1.689065181,0.648,1.640319804,0.648,1.644796549,0.648,1.667270676,0.648,1.701300903,0.648,1.629494126,0.648,1.659276077,0.648,1.655790387,0.648,1.680698542,0.648,1.645104202,0.648,1.682566487,0.648,1.607089598,0.648,1.319194681
0.684,1.001389015,0.684,1.129583392,0.684,0.653270548,0.684,0.728693102,0.684,0.86670104,0.684,0.951805656,0.684,0.711058045,0.684,1.070737956,0.684,0.481322517,0.684,0.161622906,0.684,0.202447781,0.684,0.243559259,0.684,0.149343558,0.684,0.152666077,0.684,0.175381877,0.684,0.185461071,0.684,0.153763603,0.684,0.221295887,0.684,0.131151771,0.684,1.587525815,0.684,1.610535122,0.684,1.645277602,0.684,1.572632548,0.684,1.600258829,0.684,1.598638261,0.684,1.622979043,0.684,1.587127508,0.684,1.625885981,0.684,1.550835725,0.684,1.498227725,0.684,1.554938448,0.684,1.613605839,0.684,1.451904733,0.684,1.518849087,0.684,1.527024055,0.684,1.572600209,0.684,1.491488406,0.684,1.582364508,0.684,1.309324031,0.684,0.765078979
0.72,0.355049776,0.72,0.411410023,0.72,0.243419238,0.72,0.247827461,0.72,0.295796277,0.72,0.312445335,0.72,0.250840686,0.72,0.387586303,0.72,0.210941205,0.72,0.104837194,0.72,0.119086073,0.72,0.119857629,0.72,0.099928501,0.72,0.098057678,0.72,0.110061903,0.72,0.109196077,0.72,0.100557072,0.72,0.120918048,0.72,0.090483081,0.72,1.459156401,0.72,1.504340143,0.72,1.554052886,0.72,1.428511767,0.72,1.472127539,0.72,1.480977752,0.72,1.51640657,0.72,1.453624906,0.72,1.527596669,0.72,1.365951388,0.72,0.634881401,0.72,0.983977069,0.72,1.278956656,0.72,0.484980757,0.72,0.635035852,0.72,0.779194038,0.72,0.96345085,0.72,0.57867105,0.72,1.131857041,0.72,0.293559237,0.72,0.266867742
0.756,0.19210078,0.756,0.191994628,0.756,0.162114919,0.756,0.158728794,0.756,0.177635441,0.756,0.175599879,0.756,0.162868032,0.756,0.194736598,0.756,0.147722862,0.756,0.076289304,0.756,0.085055352,0.756,0.082638515,0.756,0.073305527,0.756,0.070676547,0.756,0.079451504,0.756,0.077285699,0.756,0.073139163,0.756,0.085149235,0.756,0.066899558,0.756,0.987897191,0.756,1.225515845,0.756,1.350703835,0.756,0.854043524,0.756,0.965389437,0.756,1.097828483,0.756,1.199864649,0.756,0.932870107,0.756,1.293606232,0.756,0.627806147,0.756,0.132861325,0.756,0.18125935,0.756,0.254606032,0.756,0.120246621,0.756,0.124204158,0.756,0.148057981,0.756,0.162475182,0.756,0.124827483,0.756,0.21157426,0.756,0.102195958,0.756,0.169633499
0.792,0.140026457,0.792,0.135874155,0.792,0.122454071,0.792,0.1183308,0.792,0.131586204,0.792,0.128073201,0.792,0.122117114,0.792,0.139981332,0.792,0.112909711,0.792,0.057647876,0.792,0.063889751,0.792,0.060809219,0.792,0.055600006,0.792,0.052882892,0.792,0.059862654,0.792,0.057444392,0.792,0.055148204,0.792,0.063421051,0.792,0.050823781,0.792,0.279583228,0.792,0.43232569,0.792,0.553444664,0.792,0.239081157,0.792,0.25579579,0.792,0.331468561,0.792,0.377523058,0.792,0.254845622,0.792,0.496249951,0.792,0.193563455,0.792,0.078613677,0.792,0.091970941,0.792,0.092721032,0.792,0.074048366,0.792,0.072226171,0.792,0.083438028,0.792,0.082529953,0.792,0.074551926,0.792,0.093822994,0.792,0.065447085,0.792,0.126873914
0.828,0.108613502,0.828,0.103878074,0.828,0.096235279,0.828,0.092134994,0.828,0.102590603,0.828,0.098902784,0.828,0.095539689,0.828,0.107969491,0.828,0.089089476,0.828,0.044352175,0.828,0.049131379,0.828,0.045912135,0.828,0.042842322,0.828,0.040256109,0.828,0.046020758,0.828,0.043656808,0.828,0.042291907,0.828,0.048468402,0.828,0.03909131,0.828,0.146264928,0.828,0.171101118,0.828,0.174798881,0.828,0.138116202,0.828,0.135663924,0.828,0.155053167,0.828,0.154360056,0.828,0.139261289,0.828,0.175392177,0.828,0.123407228,0.828,0.053653198,0.828,0.061494073,0.828,0.059046116,0.828,0.05104681,0.828,0.048503146,0.828,0.056453999,0.828,0.054321406,0.828,0.050810601,0.828,0.061490641,0.828,0.045425752,0.828,0.099287552
0.864,0.086640792,0.864,0.081793001,0.864,0.077121792,0.864,0.07324959,0.864,0.081940414,0.864,0.078392303,0.864,0.076304693,0.864,0.085639366,0.864,0.071430858,0.864,0.034337751,0.864,0.038132773,0.864,0.035054947,0.864,0.033180423,0.864,0.030796968,0.864,0.035643417,0.864,0.033433253,0.864,0.032608002,0.864,0.037408853,0.864,0.030151099,0.864,0.103253679,0.864,0.116251655,0.864,0.112846291,0.864,0.098898443,0.864,0.095197892,0.864,0.107907998,0.864,0.104846585,0.864,0.098702327,0.864,0.11649446,0.864,0.089722719,0.864,0.038148154,0.864,0.043586719,0.864,0.040556195,0.864,0.036430923,0.864,0.033895492,0.864,0.040037096,0.864,0.037786947,0.864,0.035955367,0.864,0.043078823,0.864,0.03237552,0.864,0.079414416
0.9,0.069983157,0.9,0.065360979,0.9,0.062351894,0.9,0.058761597,0.9,0.066163985,0.9,0.062840337,0.9,0.061504266,0.9,0.068906378,0.9,0.057670737,0.9,0.026571339,0.9,0.029654489,0.9,0.026805523,0.9,0.025661234,0.9,0.023505452,0.9,0.027618109,0.9,0.025599926,0.9,0.02510455,0.9,0.028933359,0.9,0.023173114,0.9,0.077427498,0.9,0.086292207,0.9,0.081915347,0.9,0.074477778,0.9,0.070787102,0.9,0.080561356,0.9,0.077203559,0.9,0.07385913,0.9,0.085672675,0.9,0.067842178,0.9,0.027545584,0.9,0.031542065,0.9,0.02854853,0.9,0.026326364,0.9,0.024005274,0.9,0.028920656,0.9,0.026761774,0.9,0.02579208,0.9,0.030879895,0.9,0.02324607,0.9,0.064149174
0.936,0.056863035,0.936,0.052544528,0.936,0.050576089,0.936,0.047279711,0.936,0.05367841,0.936,0.050606693,0.936,0.049742371,0.936,0.055785603,0.936,0.046644437,0.936,0.020437297,0.936,0.022976836,0.936,0.020391815,0.936,0.019709835,0.936,0.017787464,0.936,0.021289147,0.936,0.019475608,0.936,0.019188521,0.936,0.02229073,0.936,0.017647707,0.936,0.059440846,0.936,0.066080308,0.936,0.061632127,0.936,0.05735133,0.936,0.053808503,0.936,0.061754327,0.936,0.058500328,0.936,0.056601892,0.936,0.065171891,0.936,0.052193862,0.936,0.01987895,0.936,0.02294478,0.936,0.020201617,0.936,0.018981294,0.936,0.016936108,0.936,0.020915866,0.936,0.0189816,0.936,0.018458853,0.936,0.02226413,0.936,0.01658786,0.936,0.052026183
0.972,0.046264744,0.972,0.042276218,0.972,0.040990264,0.972,0.03798338,0.972,0.04356392,0.972,0.040748169,0.972,0.040193286,0.972,0.045224192,0.972,0.037642915,0.972,0.015541848,0.972,0.017647988,0.972,0.015339253,0.972,0.014955169,0.972,0.013264579,0.972,0.016240434,0.972,0.014633682,0.972,0.014479932,0.972,0.017013973,0.972,0.013241986,0.972,0.046088731,0.972,0.051324903,0.972,0.047102416,0.972,0.044494925,0.972,0.041244782,0.972,0.047888202,0.972,0.04486409,0.972,0.043717702,0.972,0.050336692,0.972,0.040346393,0.972,0.014192908,0.972,0.016584326,0.972,0.014167225,0.972,0.013519164,0.972,0.011768816,0.972,0.014988938,0.972,0.013310642,0.972,0.013042185,0.972,0.015943379,0.972,0.011645497,0.972,0.042183606
1.008,0.037556525,1.008,0.033901939,1.008,0.033077508,1.008,0.030349724,1.008,0.035240573,1.008,0.032675431,1.008,0.032329346,1.008,0.036572334,1.008,0.030203217,1.008,0.011620031,1.008,0.013367692,1.008,0.011338151,1.008,0.011145969,1.008,0.009683455,1.008,0.012193506,1.008,0.010791906,1.008,0.010723,1.008,0.012795235,1.008,0.009728769,1.008,0.03576904,1.008,0.040014499,1.008,0.036115581,1.008,0.034516622,1.008,0.031579241,1.008,0.037209639,1.008,0.034452917,1.008,0.033760844,1.008,0.039031292,1.008,0.031110378,1.008,0.009931752,1.008,0.011803014,1.008,0.009739931,1.008,0.00942352,1.008,0.007970096,1.008,0.010545187,1.008,0.009131632,1.008,0.009008874,1.008,0.011230319,1.008,0.007965333,1.008,0.034072982
1.044,0.030319044,1.044,0.026993037,1.044,0.026486588,1.044,0.024026254,1.044,0.028319737,1.044,0.025996643,1.044,0.02579374,1.044,0.029401474,1.044,0.024007417,1.044,0.008487021,1.044,0.009928237,1.044,0.00817756,1.044,0.008106126,1.044,0.006868057,1.044,0.008954865,1.044,0.007756015,1.044,0.007739307,1.044,0.009422977,1.044,0.006947857,1.044,0.027613334,1.044,0.031113066,1.044,0.027573428,1.044,0.026610594,1.044,0.023986908,1.044,0.028787076,1.044,0.026307305,1.044,0.025901372,1.044,0.030176543,1.044,0.023782325,1.044,0.006747099,1.044,0.008197316,1.044,0.006495249,1.044,0.00636712,1.044,0.005204352,1.044,0.007215256,1.044,0.006065074,1.044,0.006023119,1.044,0.007707404,1.044,0.00525437,1.044,0.027324342
1.08,0.02426062,1.08,0.021254844,1.08,0.020969233,1.08,0.018765833,1.08,0.02252936,1.08,0.020439595,1.08,0.020335332,1.08,0.023415136,1.08,0.018829328,1.08,0.006010121,1.08,0.007181655,1.08,0.00570864,1.08,0.00570862,1.08,0.004691441,1.08,0.006386102,1.08,0.005387642,1.08,0.005400466,1.08,0.006747266,1.08,0.004782504,1.08,0.021083799,1.08,0.023993598,1.08,0.020824123,1.08,0.020272641,1.08,0.017957648,1.08,0.022049033,1.08,0.019845645,1.08,0.01962373,1.08,0.02312561,1.08,0.017915402,1.08,0.004405279,1.08,0.005503065,1.08,0.004156523,1.08,0.004127981,1.08,0.003241889,1.08,0.00475394,1.08,0.00385857,1.08,0.003857373,1.08,0.005102743,1.08,0.00330817,1.08,0.021677518
1.116,0.019171516,1.116,0.016478083,1.116,0.016345178,1.116,0.014390706,1.116,0.017673126,1.116,0.015809513,1.116,0.015772551,1.116,0.018401221,1.116,0.014504315,1.116,0.004090644,1.116,0.005019608,1.116,0.003821691,1.116,0.003858273,1.116,0.003056513,1.116,0.00438499,1.116,0.003583539,1.116,0.00360996,1.116,0.00465845,1.116,0.0031429,1.116,0.015827376,1.116,0.018250672,1.116,0.01545341,1.116,0.015169377,1.116,0.013157865,1.116,0.016622727,1.116,0.014692668,1.116,0.01458907,1.116,0.017463582,1.116,0.013211446,1.116,0.00273634,1.116,0.003535276,1.116,0.002526085,1.116,0.00254218,1.116,0.001908163,1.116,0.002985556,1.116,0.002327592,1.116,0.002342675,1.116,0.003225583,1.116,0.001968988,1.116,0.016944246
1.152,0.014897608,1.152,0.012511136,1.152,0.012481483,1.152,0.010771227,1.152,0.013606672,1.152,0.011964595,1.152,0.011972093,1.152,0.014204688,1.152,0.010911122,1.152,0.002650203,1.152,0.003359264,1.152,0.002429363,1.152,0.002478366,1.152,0.001880886,1.152,0.002871542,1.152,0.002259866,1.152,0.002288995,1.152,0.003072048,1.152,0.001952696,1.152,0.011602942,1.152,0.013609935,1.152,0.011185285,1.152,0.011071989,1.152,0.009360661,1.152,0.012254602,1.152,0.010595605,1.152,0.01056598,1.152,0.012911607,1.152,0.009464574,1.152,0.001602708,1.152,0.002152132,1.152,0.001445925,1.152,0.001474596,1.152,0.001054886,1.152,0.001770665,1.152,0.001321042,1.152,0.001338633,1.152,0.001928232,1.152,0.001100682,1.152,0.012985932
1.188,0.011324363,1.188,0.009243094,1.188,0.009279523,1.188,0.007812189,1.188,0.010222931,1.188,0.008800777,1.188,0.008835487,1.188,0.01071098,1.188,0.007960034,1.188,0.001618929,1.188,0.00213164,1.188,0.00145303,1.188,0.001499049,1.188,0.001084866,1.188,0.00177617,1.188,0.001339296,1.188,0.001364508,1.188,0.001916261,1.188,0.001137782,1.188,0.008241018,1.188,0.009879936,1.188,0.007829153,1.188,0.007818941,1.188,0.006405938,1.188,0.008767067,1.188,0.00737827,1.188,0.007391506,1.188,0.009276144,1.188,0.006528021,1.188,0.000880771,1.188,0.001232031,1.188,0.000776841,1.188,0.000802332,1.188,0.000547964,1.188,0.000985807,1.188,0.000703704,1.188,0.000717634,1.188,0.001082829,1.188,0.00057762,1.188,0.00969981
1.224,0.008366435,1.224,0.0065922,1.224,0.006665867,1.224,0.005442533,1.224,0.007442296,1.224,0.006241037,1.224,0.006289529,1.224,0.007835158,1.224,0.005583878,1.224,0.000925954,1.224,0.001271284,1.224,0.00081301,1.224,0.000848355,1.224,0.000585002,1.224,0.001029718,1.224,0.000742195,1.224,0.000760622,1.224,0.001121408,1.224,0.000619623,1.224,0.005618371,1.224,0.006923559,1.224,0.005247527,1.224,0.005291878,1.224,0.004173513,1.224,0.006031869,1.224,0.004911946,1.224,0.004945776,1.224,0.006418764,1.224,0.004291114,1.224,0.000454952,1.224,0.000661525,1.224,0.000393304,1.224,0.00041072,1.224,0.000269644,1.224,0.000515363,1.224,0.000353636,1.224,0.000362613,1.224,0.000570768,1.224,0.000286639,1.224,0.007009462
1.26,0.005959942,1.26,0.004496211,1.26,0.004584403,1.26,0.003605532,1.26,0.00520479,1.26,0.00422604,1.26,0.004277773,1.26,0.005513613,1.26,0.003729292,1.26,0.000495165,1.26,0.000708867,1.26,0.000425868,1.26,0.000449079,1.26,0.000296439,1.26,0.000557978,1.26,0.000385318,1.26,0.000397013,1.26,0.000613411,1.26,0.000316665,1.26,0.003638784,1.26,0.004638278,1.26,0.003332357,1.26,0.003396813,1.26,0.002561547,1.26,0.003950593,1.26,0.003093195,1.26,0.003132036,1.26,0.004234981,1.26,0.00266011,1.26,0.00022295,1.26,0.00033477,1.26,0.000189707,1.26,0.000199851,1.26,0.000127314,1.26,0.000255013,1.26,0.000169616,1.26,0.000174668,1.26,0.00028435,1.26,0.00013621,1.26,0.00485693
